1, Toy Story (1995) , Adventure|Animation|Children|Comedy|Fantasy,16,155
2, Jumanji (1995) , Adventure|Children|Fantasy,16,117
3, Grumpier Old Men (1995) , Comedy|Romance,3,138
4, Waiting to Exhale (1995) , Comedy|Drama|Romance,14,166
5, Father of the Bride Part II (1995) , Comedy,4,40
6, Heat (1995) , Action|Crime|Thriller,18,88
7, Sabrina (1995) , Comedy|Romance,9,157
8, Tom and Huck (1995) , Adventure|Children,18,126
9, Sudden Death (1995) , Action,10,166
10, GoldenEye (1995) , Action|Adventure|Thriller,7,161
11, American President -  The (1995) , Comedy|Drama|Romance,8,38
12, Dracula: Dead and Loving It (1995) , Comedy|Horror,17,131
13, Balto (1995) , Animation|Children,8,109
14, Nixon (1995) , Drama,11,162
15, Cutthroat Island (1995) , Action|Adventure|Romance,4,134
16, Casino (1995) , Crime|Drama,11,98
17, Sense and Sensibility (1995) , Comedy|Drama|Romance,1,110
18, Four Rooms (1995) , Comedy|Drama|Thriller,19,98
19, Ace Ventura: When Nature Calls (1995) , Comedy,10,88
20, Money Train (1995) , Action|Comedy|Crime|Drama|Thriller,17,90
21, Get Shorty (1995) , Action|Comedy|Drama,15,135
22, Copycat (1995) , Crime|Drama|Horror|Mystery|Thriller,8,163
23, Assassins (1995) , Action|Crime|Thriller,4,146
24, Powder (1995) , Drama|Sci-Fi,3,134
25, Leaving Las Vegas (1995) , Drama|Romance,15,171
26, Othello (1995) , Drama,12,129
27, Now and Then (1995) , Drama,15,139
28, Persuasion (1995) , Drama|Romance,1,112
29, City of Lost Children -  The (Cité des enfants perdus -  La) (1995) , Adventure|Drama|Fantasy|Mystery|Sci-Fi,15,32
30, Shanghai Triad (Yao a yao yao dao waipo qiao) (1995) , Crime|Drama,16,92
31, Dangerous Minds (1995) , Drama,17,86
32, 12 Monkeys (Twelve Monkeys) (1995) , Sci-Fi|Thriller,15,164
33, Wings of Courage (1995) , Adventure|IMAX|Romance,6,65
34, Babe (1995) , Children|Comedy|Drama|Fantasy,6,169
35, Carrington (1995) , Drama|Romance,15,164
36, Dead Man Walking (1995) , Crime|Drama,1,113
37, Across the Sea of Time (1995) , Documentary|IMAX,12,114
38, It Takes Two (1995) , Comedy,13,105
39, Clueless (1995) , Comedy|Romance,12,113
40, Cry -  the Beloved Country (1995) , Drama,15,97
41, Richard III (1995) , Drama|War,1,50
42, Dead Presidents (1995) , Action|Crime|Drama,16,108
43, Restoration (1995) , Drama,10,100
44, Mortal Kombat (1995) , Action|Adventure|Fantasy,6,55
45, To Die For (1995) , Comedy|Drama|Thriller,7,103
46, How to Make an American Quilt (1995) , Drama|Romance,17,128
47, Seven (a.k.a. Se7en) (1995) , Crime|Horror|Mystery|Thriller,10,178
48, Pocahontas (1995) , Animation|Children|Musical|Romance,13,85
49, When Night Is Falling (1995) , Drama|Romance,9,115
50, Usual Suspects -  The (1995) , Crime|Mystery|Thriller,7,103
51, Guardian Angel (1994) , Action|Drama|Thriller,14,134
52, Mighty Aphrodite (1995) , Comedy|Drama|Romance,17,61
53, Lamerica (1994) , Adventure|Drama,18,39
54, Big Green -  The (1995) , Children|Comedy,16,156
55, Georgia (1995) , Drama,8,147
56, Kids of the Round Table (1995) , Adventure|Children|Fantasy,16,151
57, Home for the Holidays (1995) , Drama,4,139
58, Postman -  The (Postino -  Il) (1994) , Comedy|Drama|Romance,10,140
59, Confessional -  The (Confessionnal -  Le) (1995) , Drama|Mystery,4,54
60, Indian in the Cupboard -  The (1995) , Adventure|Children|Fantasy,8,71
61, Eye for an Eye (1996) , Drama|Thriller,11,166
62, Mr. Holland's Opus (1995) , Drama,6,134
63, Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996) , Comedy|Crime,4,123
64, Two if by Sea (1996) , Comedy|Romance,6,71
65, Bio-Dome (1996) , Comedy,1,155
66, Lawnmower Man 2: Beyond Cyberspace (1996) , Action|Sci-Fi|Thriller,13,110
67, Two Bits (1995) , Drama,10,48
68, French Twist (Gazon maudit) (1995) , Comedy|Romance,5,150
69, Friday (1995) , Comedy,12,105
70, From Dusk Till Dawn (1996) , Action|Comedy|Horror|Thriller,2,51
71, Fair Game (1995) , Action,10,153
72, Kicking and Screaming (1995) , Comedy|Drama,1,135
73, Misérables -  Les (1995) , Drama|War,19,49
74, Bed of Roses (1996) , Drama|Romance,7,116
75, Big Bully (1996) , Comedy|Drama,12,49
76, Screamers (1995) , Action|Sci-Fi|Thriller,12,99
77, Nico Icon (1995) , Documentary,11,135
78, Crossing Guard -  The (1995) , Drama,10,99
79, Juror -  The (1996) , Drama|Thriller,15,159
80, White Balloon -  The (Badkonake sefid) (1995) , Children|Drama,9,68
81, Things to Do in Denver When You're Dead (1995) , Crime|Drama|Romance,8,46
82, Antonia's Line (Antonia) (1995) , Comedy|Drama,7,174
83, Once Upon a Time... When We Were Colored (1995) , Drama,13,64
84, Last Summer in the Hamptons (1995) , Comedy|Drama,2,51
85, Angels and Insects (1995) , Drama|Romance,19,37
86, White Squall (1996) , Adventure|Drama,3,103
87, Dunston Checks In (1996) , Children|Comedy,13,114
88, Black Sheep (1996) , Comedy,11,55
89, Nick of Time (1995) , Action|Thriller,7,82
90, Journey of August King -  The (1995) , Drama,16,50
92, Mary Reilly (1996) , Drama|Horror|Thriller,7,148
93, Vampire in Brooklyn (1995) , Comedy|Romance,4,106
94, Beautiful Girls (1996) , Comedy|Drama|Romance,11,56
95, Broken Arrow (1996) , Action|Adventure|Thriller,18,118
96, In the Bleak Midwinter (1995) , Comedy|Drama,10,34
97, Hate (Haine -  La) (1995) , Drama,11,49
98, Shopping (1994) , Action|Thriller,1,113
99, Heidi Fleiss: Hollywood Madam (1995) , Documentary,10,106
100, City Hall (1996) , Drama|Thriller,10,139
101, Bottle Rocket (1996) , Adventure|Comedy|Crime|Romance,18,31
102, Mr. Wrong (1996) , Comedy,7,163
103, Unforgettable (1996) , Mystery|Sci-Fi|Thriller,11,80
104, Happy Gilmore (1996) , Comedy,9,64
105, Bridges of Madison County -  The (1995) , Drama|Romance,5,177
106, Nobody Loves Me (Keiner liebt mich) (1994) , Comedy|Drama,6,56
107, Muppet Treasure Island (1996) , Adventure|Children|Comedy|Musical,14,178
108, Catwalk (1996) , Documentary,11,69
109, Headless Body in Topless Bar (1995) , Comedy,13,102
110, Braveheart (1995) , Action|Drama|War,16,63
111, Taxi Driver (1976) , Crime|Drama|Thriller,3,136
112, Rumble in the Bronx (Hont faan kui) (1995) , Action|Adventure|Comedy|Crime,7,165
113, Before and After (1996) , Drama|Mystery,3,86
114, Margaret's Museum (1995) , Drama,4,41
115, Happiness Is in the Field (Bonheur est dans le pré -  Le) (1995) , Comedy,9,152
116, Anne Frank Remembered (1995) , Documentary,3,56
117, Young Poisoner's Handbook -  The (1995) , Crime|Drama,15,31
118, If Lucy Fell (1996) , Comedy|Romance,1,133
119, Steal Big -  Steal Little (1995) , Comedy,14,108
120, Race the Sun (1996) , Drama,11,129
121, Boys of St. Vincent -  The (1992) , Drama,8,90
122, Boomerang (1992) , Comedy|Romance,18,138
123, Chungking Express (Chóngqìng Senlín) (1994) , Drama|Mystery|Romance,13,45
124, Star Maker -  The (L'Uomo delle stelle) (1995) , Drama,19,113
125, Flirting With Disaster (1996) , Comedy,10,123
126, NeverEnding Story III -  The (1994) , Adventure|Children|Fantasy,16,54
127, Silence of the Palace -  The (Saimt el Qusur) (1994) , Drama,14,67
128, Jupiter's Wife (1994) , Documentary,16,69
129, Pie in the Sky (1996) , Comedy|Romance,6,57
130, Angela (1995) , Drama,6,162
131, Frankie Starlight (1995) , Drama|Romance,12,93
132, Jade (1995) , Thriller,5,67
133, Nueba Yol (1995) , Comedy|Drama,10,153
134, Sonic Outlaws (1995) , Documentary,6,104
135, Down Periscope (1996) , Comedy,6,122
136, From the Journals of Jean Seberg (1995) , Documentary,17,91
137, Man of the Year (1995) , Documentary,15,132
138, Neon Bible -  The (1995) , Drama,6,174
139, Target (1995) , Action|Drama,9,99
140, Up Close and Personal (1996) , Drama|Romance,15,48
141, Birdcage -  The (1996) , Comedy,18,48
142, Shadows (Cienie) (1988) , Drama,17,170
143, Gospa (1995) , Drama,16,114
144, Brothers McMullen -  The (1995) , Comedy,18,84
